# Rime user dictionary
#@/db_name	terra_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	88
#@/user_id	43871507-6890-4843-8e9f-91bba8ad7d3a
a1 	阿	c=1 d=1 t=41
yong4 dao4 	用到	c=0 d=0.199005 t=75
you3 	有	c=1 d=1.08419 t=84
you3 ce4 shi4 	有測試	c=1 d=1 t=85
you4 	又	c=1 d=1 t=64
zai4 	在	c=2 d=1.90484 t=52
zen3 	怎	c=0 d=0.1 t=30
zhang4 hao4 	帳號	c=0 d=0.1 t=15
zhao4 ban4 	照辦	c=1 d=1 t=49
zhe4 me5 	這麼	c=0 d=0.195123 t=43
zhe4 me5 niao3 	這麼鳥	c=1 d=1 t=34
zhe4 xie1 	這些	c=0 d=0.275532 t=75
zhe4 xie1 dou1 ke3 yi3 yong4 	這些都可以用	c=1 d=1 t=30
zhe4 yang4 	這樣	c=0 d=0.1 t=42
zhe4 yang4 yi3 hou4 dou1 ke3 yi3 ce4 shi4 	這樣以後都可以測試	c=1 d=1 t=43
zhen1 	真	c=0 d=0.1 t=26
zhen1 xiang3 shou4 	真享受	c=1 d=1 t=27
zheng4 	正	c=1 d=1 t=56
zhi2 jie1 	直接	c=0 d=0.1 t=39
zhi2 jie1 jia1 shang4 	直接加上	c=1 d=1 t=40
zhi3 you3 	只有	c=0 d=0.18311 t=82
zhi4 shao4 	至少	c=1 d=1 t=29
zhou1 dong3 	周董	c=1 d=1.07531 t=78
zhui1 	追	c=0 d=0.1 t=60
zi1 xun4 	資訊	c=0 d=0.1 t=75
zi4 	字	c=1 d=1 t=6
zi4 ji3 	自己	c=0 d=0.1 t=86
zuo2 tian1 	昨天	c=0 d=0.1 t=62
zuo4 	做	c=1 d=1 t=88
